AUX_IN1,MULT_IN1 - 1,MULT_IN1 - 2,MULT_IN1 - 3,MULT_IN1 - 4,MULT_IN1 - 5,MULT_IN1 - 6,MULT_IN1 - 7,MULT_IN1 - 8,MULT_IN1 - 9,MULT_IN1 - 10,MULT_IN1 - 11,MULT_IN1 - 12,MULT_IN1 - 13,MULT_IN1 - 14,MULT_IN1 - 15,MULT_IN1 - 16,MULT_IN1 - 17,MULT_IN1 - 18,MULT_IN1 - 19,MULT_IN1 - 20,MULT_IN1 - 21,MULT_IN1 - 22,MULT_IN1 - 23,MULT_IN1 - 24,MULT_IN1 - 25,MULT_IN1 - 26,MULT_IN1 - 27,MULT_IN1 - 28,MULT_IN1 - 29,MULT_IN1 - 30,MULT_IN1 - 31,MULT_IN1 - 32,MULT_IN1 - 33,MULT_IN1 - 34,MULT_IN1 - 35,MULT_IN1 - 36,MULT_IN1 - 37,MULT_IN1 - 38,MULT_IN1 - 39,MULT_IN1 - 40,MULT_IN1 - 41,MULT_IN1 - 42,MULT_IN1 - 43,MULT_IN1 - 44,MULT_IN1 - 45,MULT_IN1 - 46,MULT_IN1 - 47,MULT_IN1 - 48,MULT_IN1 - 49,MULT_IN1 - 50,MULT_IN1 - 51,MULT_IN1 - 52,MULT_IN1 - 53,MULT_IN1 - 54,MULT_IN1 - 55,MULT_IN1 - 56,MULT_IN1 - 57,MULT_IN1 - 58,MULT_IN1 - 59,MULT_IN1 - 60,MULT_IN1 - 61,MULT_IN1 - 62,MULT_IN1 - 63,MULT_IN1 - 64
-1.851564,0.018018,0.017446,0.01144,0.020592,0.068068,0.017446,0.017446,0.017446,0.049478,0.009152,0.00858,0.01001,0.009438,0.008294000000000001,0.008294000000000001,0.091806,0.00858,0.0065780000000000005,0.014014,0.012870000000000001,0.014014,0.012012,0.014586,0.012012,0.002288,-0.00715,-0.00143,-0.000858,-0.001144,-0.000572,-0.000858,-0.000858,-0.013156000000000001,-0.013156000000000001,-0.013156000000000001,-0.013156000000000001,-0.013442,-0.010868000000000001,-0.013442,-0.015158000000000001,-0.000286,-0.003432,0.002574,-0.003718,-0.002288,-0.003432,-0.000858,-0.00429,0.021164000000000002,0.014014,-0.026598,0.02002,0.023738000000000002,0.02002,0.020878,0.02002,0.000286,0.001716,0.000286,-0.017446,0.0,0.0065780000000000005,-0.000286,0.0020020000000000003
-1.851564,0.017732,0.017446,0.01144,0.020306,0.069784,0.037466,0.01716,0.01716,0.048334,0.008866,0.008294000000000001,0.009724,0.009152,0.00715,0.008008000000000001,-0.018304,0.00858,0.0065780000000000005,0.013728,0.012584000000000001,0.013728,0.011726,0.014586,0.011726,0.002288,-0.00715,-0.00143,-0.000858,-0.00143,-0.001144,-0.001144,-0.000572,-0.013442,-0.013156000000000001,-0.013156000000000001,-0.013156000000000001,-0.013728,-0.011154,-0.013728,-0.016588000000000002,0.013156000000000001,-0.003718,0.002574,-0.004004000000000001,-0.002288,-0.004004000000000001,-0.001144,-0.004576,0.020878,0.013728,-0.026312000000000002,0.02002,0.023452,0.019734,0.020592,0.019734,0.0,0.00143,0.0,-0.003718,-0.000286,0.006292000000000001,-0.000572,0.001716
-1.851564,0.018018,0.01716,0.01144,0.020592,0.06864,0.063206,0.017446,0.017446,0.047476000000000004,0.00858,0.00858,0.009724,0.008866,0.0077220000000000006,0.008294000000000001,-0.066638,0.00858,0.0065780000000000005,0.013728,0.012584000000000001,0.014014,0.012012,0.014586,0.011726,0.002288,-0.00715,-0.00143,-0.000572,-0.00143,-0.000858,-0.000858,-0.000572,-0.013156000000000001,-0.012870000000000001,-0.013156000000000001,-0.012870000000000001,-0.013728,-0.011154,-0.013442,-0.019734,0.021736000000000002,-0.0031460000000000004,0.002288,-0.003718,-0.0020020000000000003,-0.004004000000000001,-0.00143,-0.003718,0.021164000000000002,0.014014,-0.034034,0.019734,0.023452,0.020306,0.020878,0.019734,0.000286,0.0020020000000000003,0.000286,-0.004004000000000001,0.000286,0.006292000000000001,0.0,0.001716
-1.851564,0.018018,0.01716,0.01144,0.020878,0.068354,0.087802,0.017732,0.017446,0.04576,0.009152,0.008866,0.01001,0.008866,0.008866,0.00858,-0.071786,0.00858,0.0065780000000000005,0.013728,0.012584000000000001,0.013728,0.012012,0.014586,0.011726,0.002574,-0.00715,-0.00143,-0.000572,-0.001144,-0.000572,-0.000858,-0.000572,-0.012870000000000001,-0.012870000000000001,-0.013442,-0.012870000000000001,-0.013728,-0.011154,-0.013156000000000001,-0.022594,0.028886000000000002,-0.003432,0.002288,-0.003432,-0.0020020000000000003,-0.004004000000000001,-0.00143,-0.003718,0.02145,0.0143,-0.038038,0.019734,0.024310000000000002,0.020592,0.021164000000000002,0.019734,0.000286,0.0020020000000000003,0.000572,-0.003432,0.000572,0.006292000000000001,0.0,0.0020020000000000003
-1.85185,0.017732,0.01716,0.011154,0.020878,0.06721,0.104676,0.017446,0.01716,0.045474,0.008866,0.00858,0.009724,0.008866,0.009152,0.008294000000000001,-0.065494,0.008294000000000001,0.0065780000000000005,0.013442,0.012870000000000001,0.013728,0.011726,0.0143,0.011726,0.002288,-0.007436,-0.00143,-0.000858,-0.00143,-0.000286,-0.001144,-0.000858,-0.012870000000000001,-0.013156000000000001,-0.013442,-0.013156000000000001,-0.013728,-0.011154,-0.013156000000000001,-0.009152,0.027742000000000003,-0.003718,0.002288,-0.003718,-0.002288,-0.004004000000000001,-0.001144,-0.004004000000000001,0.021164000000000002,0.014014,-0.039468,0.019734,0.024310000000000002,0.020306,0.020878,0.019734,0.0,0.001716,0.000572,0.010868000000000001,0.0,0.006006,-0.000286,0.002288
-1.851564,0.018018,0.01716,0.01144,0.020878,0.06578,0.118976,0.017446,0.017446,0.0429,0.009152,0.00858,0.009724,0.009438,0.009724,0.00858,-0.058058000000000005,0.008866,0.0065780000000000005,0.014014,0.013156000000000001,0.014014,0.012012,0.014586,0.012012,0.002574,-0.00715,-0.001144,-0.000572,-0.001144,-0.000572,-0.000858,-0.000858,-0.012584000000000001,-0.013156000000000001,-0.013156000000000001,-0.012870000000000001,-0.013442,-0.010582000000000001,-0.012870000000000001,-0.002574,0.024882,-0.003432,0.002288,-0.003432,-0.0020020000000000003,-0.003718,-0.000858,-0.004004000000000001,0.02145,0.0143,-0.031746,0.020306,0.023738000000000002,0.020306,0.020878,0.02002,0.000572,0.0020020000000000003,0.000286,0.019448,0.000286,0.006292000000000001,0.0,0.002288
-1.85185,0.018018,0.01716,0.01144,0.021164000000000002,0.06406400000000001,0.139568,0.017732,0.017446,0.0429,0.009152,0.00858,0.01001,0.008866,0.01001,0.00858,-0.02717,0.008866,0.0065780000000000005,0.014014,0.012870000000000001,0.014014,0.012298,0.014872,0.012012,0.002574,-0.006864,-0.001144,-0.000572,-0.001144,-0.000858,-0.000858,-0.000858,-0.012584000000000001,-0.013156000000000001,-0.012870000000000001,-0.012870000000000001,-0.013442,-0.010868000000000001,-0.013442,0.00858,0.018018,-0.003432,0.00286,-0.003432,-0.0020020000000000003,-0.003718,-0.001144,-0.004004000000000001,0.02145,0.0143,-0.026884,0.02002,0.024310000000000002,0.020306,0.020878,0.02002,0.000572,0.0020020000000000003,0.000286,0.021736000000000002,0.000286,0.0065780000000000005,0.0,0.001716
-1.851564,0.018018,0.01716,0.01144,0.020592,0.062062000000000006,0.148148,0.017446,0.017446,0.039468,0.008866,0.00858,0.009724,0.008866,0.009724,0.008294000000000001,-0.02002,0.008866,0.0065780000000000005,0.014014,0.012870000000000001,0.014014,0.012012,0.014586,0.011726,0.002574,-0.00715,-0.001144,-0.000572,-0.001144,-0.001144,-0.000858,-0.000858,-0.012870000000000001,-0.013156000000000001,-0.012870000000000001,-0.013156000000000001,-0.013728,-0.010868000000000001,-0.013728,0.02145,0.010868000000000001,-0.003432,0.002574,-0.003718,-0.0020020000000000003,-0.003718,-0.0020020000000000003,-0.004004000000000001,0.021164000000000002,0.014014,-0.022022,0.02002,0.024024,0.020306,0.020878,0.02002,0.000286,0.001716,0.000286,0.016874,0.000286,0.006292000000000001,-0.000286,0.001716
-1.852136,0.018018,0.01716,0.01144,0.020306,0.06006,0.163878,0.017446,0.01716,0.042614,0.008866,0.00858,0.01001,0.008866,0.009152,0.00858,-0.010868000000000001,0.008866,0.0065780000000000005,0.014014,0.013156000000000001,0.014014,0.012012,0.014586,0.011726,0.002574,-0.00715,-0.001144,-0.000572,-0.001144,-0.000858,-0.000858,-0.000572,-0.012870000000000001,-0.012870000000000001,-0.012870000000000001,-0.012870000000000001,-0.013442,-0.010868000000000001,-0.013156000000000001,0.024310000000000002,0.013728,-0.0031460000000000004,0.00286,-0.003718,-0.002288,-0.003432,-0.002288,-0.004004000000000001,0.02145,0.0143,-0.0143,0.02002,0.024596,0.020306,0.020878,0.02002,0.000572,0.0020020000000000003,0.000286,0.012012,0.000286,0.0065780000000000005,0.0,0.001716
-1.8509920000000002,0.018018,0.016874,0.011154,0.020306,0.058344,0.182754,0.017446,0.017446,0.012584000000000001,0.00858,0.00858,0.009724,0.008866,0.008866,0.00858,-0.0020020000000000003,0.00858,0.0065780000000000005,0.014014,0.012584000000000001,0.014014,0.012012,0.014872,0.011726,0.002574,-0.00715,-0.001144,-0.000572,-0.00143,-0.000572,-0.000858,-0.000572,-0.013156000000000001,-0.012870000000000001,-0.013156000000000001,-0.012870000000000001,-0.013442,-0.010868000000000001,-0.013156000000000001,0.021736000000000002,0.016874,-0.0031460000000000004,0.002574,-0.003718,-0.0020020000000000003,-0.003432,-0.001716,-0.004004000000000001,0.02145,0.0143,-0.014586,0.02002,0.024596,0.020592,0.020878,0.02002,0.000572,0.0020020000000000003,0.000572,0.002288,0.000286,0.0065780000000000005,0.0,0.0020020000000000003
